"","0","1","2","3","4"
"141","0118585","秋田県","秋田市","土崎港西","2丁目5-9"
"142","0118605","秋田県","秋田市","土崎港中央","1丁目16-37(土崎郵便局私書箱第5号)"
"143","0118611","秋田県","秋田市","寺内","字将軍野1"
"144","0118686","秋田県","秋田市","土崎港中央","3丁目3-11(土崎郵便局私書箱第16号)"
"145","0128501","秋田県","湯沢市","佐竹町","1-1"
"146","0128502","秋田県","湯沢市","大工町","2-32"
"147","0128511","秋田県","湯沢市","深堀","字中川原120-8"
"148","0128601","秋田県","湯沢市","表町","2丁目5-23(湯沢郵便局私書箱第2号)"
"149","0128604","秋田県","湯沢市","柳町","2丁目1-48(湯沢郵便局私書箱第5号)"
"150","0128651","秋田県","湯沢市","千石町","4丁目2-50(湯沢郵便局私書箱第7号)"
"151","0130498","秋田県","横手市","大雄","字高津野175"
"152","0138501","秋田県","横手市","大町","6-16"
"153","0138502","秋田県","横手市","旭川","1丁目3番41号"
"154","0138503","秋田県","横手市","旭川","1丁目3番46号"
"155","0138504","秋田県","横手市","旭川","1丁目5番8号"
"156","0138592","秋田県","横手市","安本","字下御所野1-2"
"157","0138601","秋田県","横手市","前郷","字下三枚橋269番地(横手郵便局私書箱第15号)"
"158","0138602","秋田県","横手市","根岸町","5番31号(横手郵便局私書箱第16号)"
"159","0138609","秋田県","横手市","旭川","1丁目2番26号"
"160","0140292","秋田県","大仙市","北長野","字茶畑141"
"161","0140392","秋田県","仙北市","角館町","中菅沢81番地8"
"162","0140393","秋田県","仙北市","角館町細越町","37"
"163","0140394","秋田県","仙北市","角館町","上野18"
"164","0140592","秋田県","仙北市","西木町上荒井","字古堀田47"
"165","0141192","秋田県","仙北市","田沢湖卒田","字早稲田430"
"166","0141298","秋田県","仙北市","田沢湖生保内","字宮ノ後30"
"167","0148501","秋田県","大仙市","堀見内","字下田茂木添28-1"
"168","0148601","秋田県","大仙市","大曲花園町","1-1(大曲郵便局私書箱第10号)"
"169","0148611","秋田県","大仙市","大曲上栄町","9番4号"
